,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
690,Christian Maggio,Right-Back,26,Sampdoria,Serie A,SSC Napoli,Serie A,2008-2009,9000000.0,8000000
691,Stevan Jovetic,Centre-Forward,18,Partizan,SuperLiga,Fiorentina,Serie A,2008-2009,7000000.0,8000000
692,Asamoah Gyan,Centre-Forward,22,Udinese Calcio,Serie A,Stade Rennais,Ligue 1,2008-2009,6000000.0,8000000
693,Henrique,Centre-Back,21,Desp. Brasil, Brazil,FC Barcelona,LaLiga,2008-2009,6000000.0,8000000
694,Loïc Rémy,Centre-Forward,21,Olympique Lyon,Ligue 1,OGC Nice,Ligue 1,2008-2009,6000000.0,8000000
695,Jorge Valdivia,Attacking Midfield,24,Palmeiras,Série A,Al-Ain FC, United Arab Emirates,2008-2009,5500000.0,8000000
696,Amara Diané,Right Winger,25,Paris SG,Ligue 1,Al Rayyan, Qatar,2008-2009,5000000.0,8000000
697,Stéphane Sessègnon,Attacking Midfield,24,Le Mans,Ligue 1,Paris SG,Ligue 1,2008-2009,5000000.0,8000000
698,Felipe Melo,Defensive Midfield,25,UD Almería,LaLiga,Fiorentina,Serie A,2008-2009,5000000.0,8000000
699,Damián Escudero,Attacking Midfield,21,Vélez Sarsfield,Torneo Final,Villarreal CF,LaLiga,2008-2009,4450000.0,8000000
700,Cesare Bovo,Centre-Back,25,Genoa,Serie A,US Palermo,Serie A,2008-2009,3500000.0,7850000
701,Antonio Nocerino,Central Midfield,23,Juventus,Serie A,US Palermo,Serie A,2008-2009,9500000.0,7500000
702,Pablo Aimar,Attacking Midfield,28,Real Zaragoza,LaLiga2,Benfica,Liga NOS,2008-2009,8000000.0,7500000
703,Miralem Pjanic,Central Midfield,18,FC Metz,Ligue 2,Olympique Lyon,Ligue 1,2008-2009,5500000.0,7500000
704,Juan Pablo Carrizo,Goalkeeper,24,River Plate,Torneo Final,Lazio,Serie A,2008-2009,5300000.0,7500000
705,Mladen Petric,Centre-Forward,27,Bor. Dortmund,1.Bundesliga,Hamburger SV,1.Bundesliga,2008-2009,9500000.0,7300000
706,Germán Denis,Centre-Forward,26,Independiente,Torneo Final,SSC Napoli,Serie A,2008-2009,8250000.0,7100000
707,Achille Emaná,Attacking Midfield,26,Toulouse,Ligue 1,Real Betis,LaLiga,2008-2009,10000000.0,7000000
708,Cristian Zaccardo,Centre-Back,26,US Palermo,Serie A,VfL Wolfsburg,1.Bundesliga,2008-2009,7000000.0,7000000
709,Rolando Bianchi,Centre-Forward,25,Man City,Premier League,Torino,Serie A,2008-2009,6500000.0,7000000
710,Pablo Piatti,Left Winger,19,Estudiantes,Torneo Final,UD Almería,LaLiga,2008-2009,6500000.0,7000000
711,Rio Mavuba,Defensive Midfield,24,Villarreal CF,LaLiga,LOSC Lille,Ligue 1,2008-2009,6000000.0,7000000
712,Darío Cvitanich,Centre-Forward,24,CA Banfield,Torneo Final,AFC Ajax,Eredivisie,2008-2009,4800000.0,7000000
713,Andrea Raggi,Centre-Back,24,FC Empoli,Serie B,US Palermo,Serie A,2008-2009,4300000.0,7000000
714,Dave Kitson,Centre-Forward,28,Reading,Championship,Stoke City,Premier League,2008-2009,4250000.0,7000000
715,Zoran Tosic,Right Winger,21,Partizan,SuperLiga,Man Utd,Premier League,2008-2009,4250000.0,7000000
716,Daniel Osvaldo,Centre-Forward,23,Fiorentina,Serie A,Bologna,Serie A,2008-2009,4000000.0,7000000
717,Cristian Rodríguez,Left Midfield,22,Paris SG,Ligue 1,FC Porto,Liga NOS,2008-2009,3500000.0,7000000
718,Lautaro Acosta,Left Winger,20,Lanús,Torneo Final,Sevilla FC,LaLiga,2008-2009,2900000.0,7000000
719,Sidnei,Centre-Back,18,Internacional,Série A,Benfica,Liga NOS,2008-2009,1500000.0,7000000
720,Fernandão,Centre-Forward,30,Internacional,Série A,Al Gharafa, Qatar,2008-2009,1000000.0,7000000
721,Daniele Dessena,Central Midfield,21,Parma,Serie B,Sampdoria,Serie A,2008-2009,4000000.0,6700000
722,Federico Marchetti,Goalkeeper,25,UC AlbinoLeffe,Serie B,Cagliari Calcio,Serie A,2008-2009,1000000.0,6700000
723,Sébastien Squillaci,Centre-Back,27,Olympique Lyon,Ligue 1,Sevilla FC,LaLiga,2008-2009,15000000.0,6500000
724,Yoan Gouffran,Left Winger,22,SM Caen,Ligue 1,G. Bordeaux,Ligue 1,2008-2009,6000000.0,6500000
725,Jozy Altidore,Centre-Forward,18,NY Red Bulls,MLS,Villarreal CF,LaLiga,2008-2009,1750000.0,6500000
726,Charles N'Zogbia,Right Winger,22,Newcastle,Premier League,Wigan,Premier League,2008-2009,7000000.0,6400000
727,Aaron Ramsey,Central Midfield,17,Cardiff,Championship,Arsenal,Premier League,2008-2009,5000000.0,6400000
728,Fabrice Muamba,Central Midfield,20,Birmingham,Championship,Bolton,Premier League,2008-2009,4500000.0,6400000
729,Tal Ben Haim,Centre-Back,26,Chelsea,Premier League,Man City,Premier League,2008-2009,4000000.0,6400000
730,Luis Jiménez,Attacking Midfield,24,Ternana,Serie C - B,Inter,Serie A,2008-2009,9000000.0,6300000
731,Valon Behrami,Defensive Midfield,23,Lazio,Serie A,West Ham,Premier League,2008-2009,8000000.0,6300000
732,Steve Sidwell,Central Midfield,25,Chelsea,Premier League,Aston Villa,Premier League,2008-2009,4000000.0,6300000
733,Younès Kaboul,Centre-Back,22,Spurs,Premier League,Portsmouth,Premier League,2008-2009,6500000.0,6250000
734,Alex Silva,Centre-Back,23,Iraty SC, Brazil,Hamburger SV,1.Bundesliga,2008-2009,5000000.0,6200000
735,Gökhan Ünal,Centre-Forward,25,Kayserispor,Süper Lig,Trabzonspor,Süper Lig,2008-2009,4200000.0,6200000
736,Marco Amelia,Goalkeeper,26,AS Livorno,Serie B,US Palermo,Serie A,2008-2009,12000000.0,6000000
737,Fernando Meira,Centre-Back,30,Galatasaray,Süper Lig,Zenit S-Pb,Premier Liga,2008-2009,8500000.0,6000000
738,Sébastien Puygrenier,Centre-Back,26,AS Nancy,Ligue 1,Zenit S-Pb,Premier Liga,2008-2009,7500000.0,6000000
739,Giovani dos Santos,Second Striker,19,FC Barcelona,LaLiga,Spurs,Premier League,2008-2009,6000000.0,6000000
740,Gaby Mudingayi,Defensive Midfield,26,Lazio,Serie A,Bologna,Serie A,2008-2009,5500000.0,6000000
741,Dudu Cearense,Central Midfield,25,CSKA Moscow,Premier Liga,Olympiacos,Super League,2008-2009,5500000.0,6000000
742,Ognjen Vukojevic,Defensive Midfield,24,Dinamo Zagreb,1.HNL,Dynamo Kyiv,Premier Liga,2008-2009,5000000.0,6000000
743,Brandão,Centre-Forward,28,Shakhtar D.,Premier Liga,Marseille,Ligue 1,2008-2009,5000000.0,6000000
744,Pelé,Central Midfield,20,Inter,Serie A,FC Porto,Liga NOS,2008-2009,4000000.0,6000000
745,Roberto Soldado,Centre-Forward,23,Real Madrid,LaLiga,Getafe CF,LaLiga,2008-2009,4000000.0,6000000
746,Aritz Aduriz,Centre-Forward,27,Athletic Bilbao,LaLiga,RCD Mallorca,LaLiga,2008-2009,3800000.0,6000000
747,Nélson,Right-Back,25,Benfica,Liga NOS,Real Betis,LaLiga,2008-2009,3200000.0,6000000
748,Mirel Radoi,Defensive Midfield,27,FCS Bucharest,Liga 1,Hilal, Saudi Arabia,2008-2009,3000000.0,6000000
749,Baré,Centre-Forward,26,Gamba Osaka,J1 League,Al-Ahli (UAE), United Arab Emirates,2008-2009,6000000.0,6000000
750,Borja Valero,Central Midfield,23,RCD Mallorca,LaLiga,West Brom,Premier League,2008-2009,3800000.0,5900000
751,Jonás Gutiérrez,Left Midfield,25,RCD Mallorca,LaLiga,Newcastle,Premier League,2008-2009,6000000.0,5800000
752,Jesús Dátolo,Attacking Midfield,24,Boca Juniors,Torneo Final,SSC Napoli,Serie A,2008-2009,3300000.0,5700000
753,Xisco,Centre-Forward,22,Dep. La Coruña,LaLiga,Newcastle,Premier League,2008-2009,5000000.0,5680000
754,Marko Basa,Centre-Back,25,Le Mans,Ligue 1,Loko Moscow,Premier Liga,2008-2009,6500000.0,5500000
755,Joseba Llorente,Centre-Forward,28,Real Valladolid,LaLiga,Villarreal CF,LaLiga,2008-2009,6000000.0,5500000
756,Milan Baros,Centre-Forward,26,Olympique Lyon,Ligue 1,Galatasaray,Süper Lig,2008-2009,4500000.0,5500000
757,George McCartney,Left-Back,27,West Ham,Premier League,Sunderland,Premier League,2008-2009,4000000.0,5500000
758,Orlando Engelaar,Defensive Midfield,28,FC Twente,Eredivisie,FC Schalke 04,1.Bundesliga,2008-2009,3500000.0,5500000
759,Leandro Rinaudo,Centre-Back,25,US Palermo,Serie A,SSC Napoli,Serie A,2008-2009,2500000.0,5500000
760,Hulk,Right Winger,22,Tokyo Verdy,J1 League,FC Porto,Liga NOS,2008-2009,6000000.0,5500000
761,Jimmy Bullard,Central Midfield,30,Fulham,Premier League,Hull City,Premier League,2008-2009,4500000.0,5300000
762,Mauro Boselli,Centre-Forward,23,Boca Juniors,Torneo Final,Estudiantes,Torneo Final,2008-2009,3500000.0,5300000
763,Renato Augusto,Central Midfield,20,Flamengo,Série A,Bay. Leverkusen,1.Bundesliga,2008-2009,5500000.0,5200000
764,John Arne Riise,Left-Back,27,Liverpool,Premier League,AS Roma,Serie A,2008-2009,12500000.0,5000000
765,Raffaele Palladino,Left Winger,24,Juventus,Serie A,Genoa,Serie A,2008-2009,10000000.0,5000000
766,Steed Malbranque,Central Midfield,28,Spurs,Premier League,Sunderland,Premier League,2008-2009,9000000.0,5000000
767,Guilherme,Second Striker,20,Cruzeiro,Série A,Dynamo Kyiv,Premier Liga,2008-2009,8000000.0,5000000
768,Alex,Attacking Midfield,26,Internacional,Série A,Spartak Moscow,Premier Liga,2008-2009,7500000.0,5000000
769,Pascal Feindouno,Right Winger,27,Saint-Étienne,Ligue 1,Al Sadd, Qatar,2008-2009,7500000.0,5000000
770,Igor Budan,Centre-Forward,28,Parma,Serie B,US Palermo,Serie A,2008-2009,6500000.0,5000000
771,Igor Semshov,Central Midfield,30,Dinamo Moscow,Premier Liga,Zenit S-Pb,Premier Liga,2008-2009,6000000.0,5000000
772,Gerard Piqué,Centre-Back,21,Man Utd,Premier League,FC Barcelona,LaLiga,2008-2009,5500000.0,5000000
773,Khalid Boulahrouz,Centre-Back,26,Chelsea,Premier League,VfB Stuttgart,1.Bundesliga,2008-2009,5000000.0,5000000
774,Steve Savidan,Centre-Forward,30,Valenciennes FC,Ligue 1,SM Caen,Ligue 1,2008-2009,5000000.0,5000000
775,Hilton,Centre-Back,30,Lens,Ligue 2,Marseille,Ligue 1,2008-2009,4500000.0,5000000
776,Andrea Gasbarroni,Second Striker,26,Parma,Serie B,Genoa,Serie A,2008-2009,4000000.0,5000000
777,Didier Digard,Defensive Midfield,21,Paris SG,Ligue 1,Middlesbrough,Premier League,2008-2009,3000000.0,5000000
778,Nicolás Pareja,Centre-Back,24,RSC Anderlecht,Jupiler Pro League,Espanyol,LaLiga,2008-2009,2750000.0,5000000
779,Charles,Defensive Midfield,23,Cruzeiro,Série A,Loko Moscow,Premier Liga,2008-2009,2300000.0,5000000
780,Karim El Ahmadi,Central Midfield,23,FC Twente,Eredivisie,Feyenoord,Eredivisie,2008-2009,2000000.0,5000000
781,Renan,Goalkeeper,23,Internacional,Série A,Valencia CF,LaLiga,2008-2009,1700000.0,5000000
782,Cristian Sapunaru,Centre-Back,24,Rapid Bucharest,Liga 1,FC Porto,Liga NOS,2008-2009,1400000.0,5000000
783,Davide Astori,Centre-Back,21,AC Milan,Serie A,Cagliari Calcio,Serie A,2008-2009,6000000.0,5000000
784,Marcus Diniz,Centre-Back,21,AS Livorno,Serie B,AC Milan,Serie A,2008-2009,6000000.0,5000000
785,Hugo Rodallega,Centre-Forward,23,Necaxa,Liga MX Clausura,Wigan,Premier League,2008-2009,4000000.0,4800000
786,Gianluca Comotto,Centre-Back,29,Torino,Serie A,Fiorentina,Serie A,2008-2009,2700000.0,4800000
787,Andrea Lazzari,Central Midfield,23,Atalanta,Serie A,Cagliari Calcio,Serie A,2008-2009,2000000.0,4800000
788,Moussa Maazou,Centre-Forward,20,KSC Lokeren,Jupiler Pro League,CSKA Moscow,Premier Liga,2008-2009,2000000.0,4800000
789,Rubén de la Red,Central Midfield,23,Getafe CF,LaLiga,Real Madrid,LaLiga,2008-2009,6000000.0,4700000
790,Fernando Navarro,Left-Back,26,RCD Mallorca,LaLiga,Sevilla FC,LaLiga,2008-2009,6000000.0,4700000
791,Rafael Carioca,Defensive Midfield,19,Grêmio,Série A,Spartak Moscow,Premier Liga,2008-2009,4000000.0,4700000
792,Tomás Sivok,Centre-Back,24,Udinese Calcio,Serie A,Besiktas,Süper Lig,2008-2009,3800000.0,4700000
793,Djiby Fall,Centre-Forward,23,Odense BK,Superligaen,Loko Moscow,Premier Liga,2008-2009,3500000.0,4700000
794,Giuliano,Attacking Midfield,18,Paraná,Série B,Internacional,Série A,2008-2009,700000.0,4700000
795,Fernando Meira,Centre-Back,30,VfB Stuttgart,1.Bundesliga,Galatasaray,Süper Lig,2008-2009,10000000.0,4500000
796,Emre Belözoglu,Central Midfield,27,Newcastle,Premier League,Fenerbahce,Süper Lig,2008-2009,7500000.0,4500000
797,Fabian Ernst,Defensive Midfield,29,FC Schalke 04,1.Bundesliga,Besiktas,Süper Lig,2008-2009,7000000.0,4500000
798,Frédéric Piquionne,Centre-Forward,29,Monaco,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,7000000.0,4500000
799,Kevin Nolan,Attacking Midfield,26,Bolton,Premier League,Newcastle,Premier League,2008-2009,6500000.0,4500000
800,Francesco Modesto,Left-Back,26,Reggina,Serie A,Genoa,Serie A,2008-2009,5000000.0,4500000
801,Maurizio Domizzi,Centre-Back,28,SSC Napoli,Serie A,Udinese Calcio,Serie A,2008-2009,5000000.0,4500000
802,Marat Izmailov,Central Midfield,25,Loko Moscow,Premier Liga,Sporting CP,Liga NOS,2008-2009,3500000.0,4500000
803,Nadir Belhadj,Left-Back,26,Lens,Ligue 2,Portsmouth,Premier League,2008-2009,3500000.0,4500000
804,Jaime Gavilán,Left Winger,23,Valencia CF,LaLiga,Getafe CF,LaLiga,2008-2009,3000000.0,4500000
805,Tomas Necid,Centre-Forward,19,Slavia Prag,HET Liga,CSKA Moscow,Premier Liga,2008-2009,2500000.0,4500000
806,Neven Subotic,Centre-Back,19,1.FSV Mainz 05,2.Bundesliga,Bor. Dortmund,1.Bundesliga,2008-2009,2500000.0,4500000
807,Pedro Geromel,Centre-Back,22,Vit. Guimarães,Liga NOS,1. FC Köln,1.Bundesliga,2008-2009,1500000.0,4500000
808,Stefan Radu,Left-Back,21,Dinamo Bukarest,Liga 1,Lazio,Serie A,2008-2009,1400000.0,4500000
809,Kyle Lafferty,Centre-Forward,20,Burnley,Championship,Rangers,Premiership,2008-2009,1250000.0,4500000
810,Wellington,Centre-Forward,20,Internacional,Série A,TSG Hoffenheim,1.Bundesliga,2008-2009,900000.0,4500000
811,Tomas Zapotocny,Centre-Back,27,Udinese Calcio,Serie A,Besiktas,Süper Lig,2008-2009,850000.0,4500000
812,Nicky Shorey,Left-Back,27,Reading,Championship,Aston Villa,Premier League,2008-2009,6000000.0,4400000
813,Paul Robinson,Goalkeeper,28,Spurs,Premier League,Blackburn,Premier League,2008-2009,5000000.0,4400000
814,Andrés D'Alessandro,Attacking Midfield,27,San Lorenzo,Torneo Final,Internacional,Série A,2008-2009,4500000.0,4400000
815,Olivier Kapo,Attacking Midfield,27,Birmingham,Championship,Wigan,Premier League,2008-2009,3500000.0,4400000
816,Lee Cattermole,Defensive Midfield,20,Middlesbrough,Premier League,Wigan,Premier League,2008-2009,2000000.0,4400000
817,Diego Cavalieri,Goalkeeper,25,Palmeiras,Série A,Liverpool,Premier League,2008-2009,1200000.0,4400000
818,Roman Adamov,Centre-Forward,26,FK Moskau,Premier Liga,Rubin Kazan,Premier Liga,2008-2009,3000000.0,4300000
819,Marco Bernacci,Centre-Forward,24,RC Cesena,Serie C - A,Bologna,Serie A,2008-2009,3000000.0,4300000
820,Danny Guthrie,Central Midfield,21,Liverpool,Premier League,Newcastle,Premier League,2008-2009,1800000.0,4300000
821,Fernando Tissone,Defensive Midfield,21,Atalanta,Serie A,Udinese Calcio,Serie A,2008-2009,5500000.0,4200000
822,Bobby Zamora,Centre-Forward,27,West Ham,Premier League,Fulham,Premier League,2008-2009,3000000.0,4100000
823,Javier Arizmendi,Centre-Forward,24,Valencia CF,LaLiga,Real Zaragoza,LaLiga2,2008-2009,9000000.0,4000000
824,Túlio de Melo,Centre-Forward,23,US Palermo,Serie A,LOSC Lille,Ligue 1,2008-2009,7000000.0,4000000
825,Zvjezdan Misimovic,Attacking Midfield,26,1.FC Nuremberg,2.Bundesliga,VfL Wolfsburg,1.Bundesliga,2008-2009,6500000.0,4000000
826,Scott Carson,Goalkeeper,22,Liverpool,Premier League,West Brom,Premier League,2008-2009,6000000.0,4000000
827,Alejandro Domínguez,Attacking Midfield,27,Zenit S-Pb,Premier Liga,Rubin Kazan,Premier Liga,2008-2009,5600000.0,4000000
828,Javi García,Defensive Midfield,21,CA Osasuna,LaLiga,Real Madrid,LaLiga,2008-2009,5000000.0,4000000
829,Sylvain Monsoreau,Centre-Back,27,Monaco,Ligue 1,Saint-Étienne,Ligue 1,2008-2009,4000000.0,4000000
830,Alanzinho,Attacking Midfield,25,Stabaek IF,Eliteserien,Trabzonspor,Süper Lig,2008-2009,3500000.0,4000000
831,Róbert Vittek,Centre-Forward,26,1.FC Nuremberg,2.Bundesliga,LOSC Lille,Ligue 1,2008-2009,3500000.0,4000000
832,Javier Balboa,Attacking Midfield,23,Real Madrid,LaLiga,Benfica,Liga NOS,2008-2009,2600000.0,4000000
833,Vince Grella,Central Midfield,28,Torino,Serie A,Blackburn,Premier League,2008-2009,2500000.0,4000000
834,Gianni Zuiverloon,Centre-Back,21,Heerenveen,Eredivisie,West Brom,Premier League,2008-2009,2500000.0,4000000
835,James Beattie,Centre-Forward,30,Sheffield Utd.,Championship,Stoke City,Premier League,2008-2009,2250000.0,4000000
836,Maurice Edu,Defensive Midfield,22,Toronto FC,MLS,Rangers,Premiership,2008-2009,2000000.0,4000000
837,Ismail Aissati,Attacking Midfield,19,PSV Eindhoven,Eredivisie,AFC Ajax,Eredivisie,2008-2009,2000000.0,4000000
838,Simon Kjær,Centre-Back,19,FC Midtjylland,Superligaen,US Palermo,Serie A,2008-2009,1500000.0,4000000
839,Stef Nijland,Centre-Forward,19,FC Groningen,Eredivisie,PSV Eindhoven,Eredivisie,2008-2009,1250000.0,4000000
840,Ola Toivonen,Centre-Forward,22,Malmö FF,Allsvenskan,PSV Eindhoven,Eredivisie,2008-2009,1250000.0,4000000
841,Marvin Emnes,Centre-Forward,20,Sparta R.,Eredivisie,Middlesbrough,Premier League,2008-2009,1000000.0,4000000
842,Joffre Guerrón,Centre-Forward,23,LDU Quito, Ecuador,Getafe CF,LaLiga,2008-2009,6000000.0,4000000
843,Diego Souza,Attacking Midfield,24,Tokyo Verdy,J2 League,Kyoto Sanga,J1 League,2008-2009,6000000.0,4000000
844,Miguel Britos,Centre-Back,23,Wanderers, Uruguay,Bologna,Serie A,2008-2009,6000000.0,4000000
845,Daniele Vantaggiato,Centre-Forward,24,Rimini,Serie B,Parma,Serie B,2008-2009,1250000.0,3930000
846,Michael Gravgaard,Centre-Back,30,FC Copenhagen,Superligaen,FC Nantes,Ligue 1,2008-2009,2750000.0,3900000
847,Marcelo Mattos,Defensive Midfield,24,Corinthians,Série B,Panathinaikos,Super League,2008-2009,5000000.0,3800000
848,Steven Davis,Central Midfield,23,Fulham,Premier League,Rangers,Premiership,2008-2009,4500000.0,3800000
849,Esteban Solari,Centre-Forward,28,UNAM Pumas,Liga MX Clausura,UD Almería,LaLiga,2008-2009,4000000.0,3800000
850,Sokratis,Centre-Back,20,AEK Athens,Super League,Genoa,Serie A,2008-2009,2700000.0,3800000
851,Seyi Olofinjana,Central Midfield,28,Wolves,Championship,Stoke City,Premier League,2008-2009,2500000.0,3800000
852,Philippe Coutinho,Attacking Midfield,16,Vasco U17, Brazil,Inter,Serie A,2008-2009,2500000.0,3800000
853,John Paintsil,Right-Back,27,West Ham,Premier League,Fulham,Premier League,2008-2009,1500000.0,3800000
854,Justin Hoyte,Right-Back,23,Arsenal,Premier League,Middlesbrough,Premier League,2008-2009,1500000.0,3800000
855,Cristiano Ronaldo,Centre-Forward,24,Man Utd,Premier League,Real Madrid,LaLiga,2009-2010,60000000.0,94000000
856,Zlatan Ibrahimovic,Centre-Forward,27,Inter,Serie A,FC Barcelona,LaLiga,2009-2010,45000000.0,69500000
857,Kaká,Attacking Midfield,27,AC Milan,Serie A,Real Madrid,LaLiga,2009-2010,55000000.0,65000000
858,Karim Benzema,Centre-Forward,21,Olympique Lyon,Ligue 1,Real Madrid,LaLiga,2009-2010,29000000.0,35000000
859,Xabi Alonso,Defensive Midfield,27,Liverpool,Premier League,Real Madrid,LaLiga,2009-2010,27000000.0,34500000
860,Mario Gómez,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,Bayern Munich ,1.Bundesliga,2009-2010,30000000.0,30000000
861,Emmanuel Adebayor,Centre-Forward,25,Arsenal,Premier League,Man City,Premier League,2009-2010,25000000.0,29000000
862,Carlos Tévez,Second Striker,25,West Ham,Premier League,Man City,Premier League,2009-2010,25000000.0,29000000
863,Joleon Lescott,Centre-Back,27,Everton,Premier League,Man City,Premier League,2009-2010,17000000.0,27500000
864,Diego,Attacking Midfield,24,Werder Bremen,1.Bundesliga,Juventus,Serie A,2009-2010,29000000.0,27000000
865,Arjen Robben,Right Winger,25,Real Madrid,LaLiga,Bayern Munich ,1.Bundesliga,2009-2010,30000000.0,25000000
866,Diego Milito,Centre-Forward,30,Genoa,Serie A,Inter,Serie A,2009-2010,16000000.0,25000000
867,Dmytro Chygrynskiy,Centre-Back,22,Shakhtar D.,Premier Liga,FC Barcelona,LaLiga,2009-2010,13500000.0,25000000
868,Felipe Melo,Defensive Midfield,26,Fiorentina,Serie A,Juventus,Serie A,2009-2010,9500000.0,25000000
869,Lisandro López,Centre-Forward,26,FC Porto,Liga NOS,Olympique Lyon,Ligue 1,2009-2010,16500000.0,24000000
870,Roque Santa Cruz,Centre-Forward,27,Blackburn,Premier League,Man City,Premier League,2009-2010,10000000.0,21200000
871,Yuri Zhirkov,Left Midfield,25,CSKA Moscow,Premier Liga,Chelsea,Premier League,2009-2010,20000000.0,21000000
872,Glen Johnson,Right-Back,24,Portsmouth,Premier League,Liverpool,Premier League,2009-2010,11000000.0,20500000
873,Mauro Zárate,Second Striker,22,Al Sadd, Qatar,Lazio,Serie A,2009-2010,9000000.0,20200000
874,Samuel Eto'o,Centre-Forward,28,FC Barcelona,LaLiga,Inter,Serie A,2009-2010,35000000.0,20000000
875,Alberto Aquilani,Central Midfield,25,AS Roma,Serie A,Liverpool,Premier League,2009-2010,15000000.0,20000000
876,Lucho González,Central Midfield,28,FC Porto,Liga NOS,Marseille,Ligue 1,2009-2010,20000000.0,19000000
877,Antonio Valencia,Right-Back,23,Wigan,Premier League,Man Utd,Premier League,2009-2010,11000000.0,18900000
878,Kolo Touré,Centre-Back,28,Arsenal,Premier League,Man City,Premier League,2009-2010,21000000.0,18700000
879,Fabio Quagliarella,Centre-Forward,26,Udinese Calcio,Serie A,SSC Napoli,Serie A,2009-2010,14000000.0,18000000
880,Michel Bastos,Left Midfield,25,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2009-2010,10000000.0,18000000
881,Nilmar,Centre-Forward,25,Internacional,Série A,Villarreal CF,LaLiga,2009-2010,11000000.0,16500000
882,Aly Cissokho,Left-Back,21,FC Porto,Liga NOS,Olympique Lyon,Ligue 1,2009-2010,12000000.0,16200000
883,Wesley Sneijder,Attacking Midfield,25,Real Madrid,LaLiga,Inter,Serie A,2009-2010,25000000.0,15000000
884,Klaas-Jan Huntelaar,Centre-Forward,26,Real Madrid,LaLiga,AC Milan,Serie A,2009-2010,20000000.0,15000000
885,Álvaro Negredo,Centre-Forward,24,Real Madrid,LaLiga,Sevilla FC,LaLiga,2009-2010,12000000.0,15000000
886,Ricardo Oliveira,Centre-Forward,29,Real Betis,LaLiga2,Al-Jazira, United Arab Emirates,2009-2010,10000000.0,15000000
887,Raúl Albiol,Centre-Back,23,Valencia CF,LaLiga,Real Madrid,LaLiga,2009-2010,9000000.0,15000000
888,Robert Acquafresca,Centre-Forward,21,Inter,Serie A,Genoa,Serie A,2009-2010,8000000.0,15000000
889,Keirrison,Centre-Forward,20,Desp. Brasil, Brazil,FC Barcelona,LaLiga,2009-2010,14000000.0,14000000
890,Gareth Barry,Defensive Midfield,28,Aston Villa,Premier League,Man City,Premier League,2009-2010,18500000.0,13900000
891,Michael Turner,Centre-Back,25,Hull City,Premier League,Sunderland,Premier League,2009-2010,4000000.0,13600000
892,Yoann Gourcuff,Attacking Midfield,22,AC Milan,Serie A,G. Bordeaux,Ligue 1,2009-2010,18500000.0,13500000
893,Stewart Downing,Left Midfield,25,Middlesbrough,Championship,Aston Villa,Premier League,2009-2010,11000000.0,13000000
894,Bafétimbi Gomis,Centre-Forward,23,Saint-Étienne,Ligue 1,Olympique Lyon,Ligue 1,2009-2010,8000000.0,13000000
895,Stéphane Mbia,Defensive Midfield,23,Stade Rennais,Ligue 1,Marseille,Ligue 1,2009-2010,9500000.0,12000000
896,Afonso Alves,Centre-Forward,28,Middlesbrough,Championship,Al Sadd, Qatar,2009-2010,6800000.0,12000000
897,Thomas Vermaelen,Centre-Back,23,AFC Ajax,Eredivisie,Arsenal,Premier League,2009-2010,6000000.0,12000000
898,Darren Bent,Centre-Forward,25,Spurs,Premier League,Sunderland,Premier League,2009-2010,12000000.0,11800000
899,Anatoliy Tymoshchuk,Defensive Midfield,30,Zenit S-Pb,Premier Liga,Bayern Munich ,1.Bundesliga,2009-2010,20000000.0,11000000
900,Ismaël Bangoura,Centre-Forward,24,Dynamo Kyiv,Premier Liga,Stade Rennais,Ligue 1,2009-2010,9000000.0,11000000
901,Luca Cigarini,Defensive Midfield,23,Atalanta,Serie A,SSC Napoli,Serie A,2009-2010,7000000.0,11000000
902,Obafemi Martins,Centre-Forward,24,Newcastle,Championship,VfL Wolfsburg,1.Bundesliga,2009-2010,12500000.0,10500000
903,Peter Crouch,Centre-Forward,28,Portsmouth,Premier League,Spurs,Premier League,2009-2010,10000000.0,10500000
904,Sergio Floccari,Centre-Forward,27,Atalanta,Serie A,Genoa,Serie A,2009-2010,9000000.0,10500000
905,Leonardo Bonucci,Centre-Back,22,Genoa,Serie A,Bari,Serie A,2009-2010,400000.0,10500000
906,Thiago Motta,Defensive Midfield,26,Genoa,Serie A,Inter,Serie A,2009-2010,7000000.0,10200000
907,Lukas Podolski,Centre-Forward,24,Bayern Munich ,1.Bundesliga,1. FC Köln,1.Bundesliga,2009-2010,12000000.0,10000000
908,Marcus Berg,Centre-Forward,22,FC Groningen,Eredivisie,Hamburger SV,1.Bundesliga,2009-2010,8000000.0,10000000
909,Diniyar Bilyaletdinov,Attacking Midfield,24,Loko Moscow,Premier Liga,Everton,Premier League,2009-2010,6700000.0,10000000
910,McDonald Mariga,Defensive Midfield,22,Parma,Serie A,Inter,Serie A,2009-2010,6000000.0,10000000
911,Daniele Galloppa,Central Midfield,24,Siena,Serie A,Parma,Serie A,2009-2010,4000000.0,10000000
912,Fabian Delph,Central Midfield,19,Leeds,League One,Aston Villa,Premier League,2009-2010,100000.0,9500000
913,Sébastien Bassong,Centre-Back,23,Newcastle,Championship,Spurs,Premier League,2009-2010,5200000.0,9300000
